Age,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Total,4903185,731545,7278717,3017804,39512223,5758736,3565287,973764,21477737,10617423,1415872,1787065,12671821,6732219,3155070,2913314,4467673,4648794,1344212,6045680,6892503,9986857,5639632,2976149,6137428,1068778,1934408,3080156,1359711,8882190,2096829,19453561,10488084,762062,11689100,3956971,4217737,12801989,1059361,5148714,884659,6829174,28995881,3205958,623989,8535519,7614893,1792147,5822434,578759
.Under 5 years,294357,51080,429788,188464,2383716,332201,181710,54719,1139742,656566,85219,116200,746934,418340,195636,185331,272610,301469,63537,361937,357362,566442,351622,183478,368080,61156,130880,185575,63621,514690,120986,1127001,609770,54101,690828,255533,227811,697924,54521,292464,61167,408605,1990891,247803,29043,505477,456476,93025,330496,34931
.5 to 9 years,297968,51596,453692,192747,2478850,346783,194738,56312,1166350,685587,86710,123317,769727,431942,200156,196363,276417,301217,67424,370555,368450,586325,362846,189377,378425,63876,132357,193050,68738,532258,132779,1117891,628866,51031,708467,267907,242452,726053,54899,306776,60934,413379,2063578,258976,31098,514886,468777,100280,347240,37296
.10 to 14 years,310498,49066,477053,200466,2529137,363539,214262,57663,1206047,727416,80876,131471,806018,447039,208339,199903,284000,306719,72676,377314,382585,610364,369747,206282,391115,65429,133939,199016,74711,551709,139489,1100705,665606,48464,731812,270141,249084,749587,57969,323940,60732,431302,2103124,267985,33058,525235,466994,103192,366791,39438
.15 to 19 years,313615,45110,478065,197251,2533694,365448,238872,60218,1202436,732120,77287,125185,822630,457749,212204,200494,285907,293860,77521,379915,449834,644559,361131,201350,389671,63955,132645,182631,83968,552830,138458,1175399,688195,47181,755766,264914,246133,803978,71154,324659,57734,424280,2052992,253847,41216,541828,448059,105976,377568,36507
.20 to 24 years,322092,51283,495482,200287,2647279,377765,239931,57154,1258122,717380,88650,116434,829977,472649,224211,212319,297891,303408,74616,371115,485290,681766,355929,201517,404798,71936,135551,182587,87906,540725,140001,1269847,698865,62216,751457,274648,264104,799230,75503,330743,58930,444925,2002525,264652,45430,571619,481263,110880,390572,38083
.25 to 29 years,338138,60427,525879,205499,3094978,461160,225457,65311,1419816,771584,101864,121631,897230,464458,206055,196221,309470,335245,81044,412144,504506,697811,378787,206989,425414,71677,129709,229367,87395,579238,145634,1465003,733576,60286,801624,279982,304531,861372,75743,353271,57986,497286,2172297,251376,37956,601926,592596,111868,379644,38041
.30 to 34 years,309091,57161,481214,191369,2957974,452194,222572,63769,1379606,721677,98131,114859,860866,426229,192095,186701,277910,322982,81764,417105,489948,613803,383829,186758,400473,66709,125629,223749,85421,573040,138453,1402648,682493,54285,752754,263611,299753,847764,72470,329583,57078,452370,2104466,220430,36452,588455,579479,102136,361578,38392
.35 to 39 years,304145,52421,466981,192156,2780574,425517,219855,59374,1336741,709018,96871,118233,849955,427265,202273,191430,280548,315125,79165,410528,444801,599328,388815,189068,397045,68697,130004,215201,81390,580139,135544,1271005,662260,50829,724341,264742,297541,791515,66258,319990,56899,435528,2064852,231242,37019,581713,550110,106413,373501,39748
.40 to 44 years,289161,43344,429046,178107,2501526,372554,207286,53727,1263790,671936,84932,108939,787180,401694,182942,169599,270405,274729,74910,371685,403572,566844,336762,176686,356694,61098,113135,195304,75110,557554,119302,1158956,641167,41747,673467,233131,271171,722224,59077,300514,48965,412130,1877587,212211,34248,530783,478031,107389,339574,34537
.45 to 49 years,308951,42303,433343,182264,2515419,365235,225494,56685,1340417,712696,84135,102792,799928,413889,178216,164064,280688,269497,83308,385774,429056,612531,328843,181833,363465,58389,108702,200161,86223,584884,117382,1196751,688599,38692,713719,230394,261878,773596,63926,318195,46641,437995,1853407,176934,37335,547506,467553,114165,342984,32452
.50 to 54 years,307665,42827,418747,179318,2464326,340915,251411,62196,1368978,686956,83612,98974,799861,410140,184293,163897,282974,278851,91422,409693,464577,642148,344518,180207,369479,59411,107106,194067,97050,615939,118274,1275053,675468,39507,733862,223142,248249,830501,71186,322412,48224,433284,1700691,151496,40716,552768,456224,115086,372225,31401
.55 to 59 years,336320,48222,446731,198021,2508777,364977,267967,69315,1489510,691407,89958,109541,854601,448666,210834,188632,307003,308346,105917,431688,490961,708151,390965,197314,426445,72968,123589,197938,110245,642602,137530,1348846,703294,47052,808229,252949,266713,909697,76549,349976,58789,460294,1721845,155508,47545,584373,488428,125027,422240,38268
.60 to 64 years,321347,45117,434063,187973,2277858,348036,245488,68415,1408845,616126,89179,108819,803682,426416,204862,182873,291286,296324,105643,386831,452229,691384,365456,188597,404287,77040,118704,185538,104069,581047,135391,1248310,658831,46826,796454,240745,272237,895186,73060,339168,58709,434403,1553397,147626,47834,530044,471180,129699,400778,40486
.65 to 69 years,275448,36261,398499,164960,1889872,296296,195083,61422,1295884,511367,83038,97884,662179,358410,176886,154491,248803,248923,93770,312521,373728,584379,303676,160611,339706,70670,101570,164209,85137,461456,123189,1032146,573844,38449,666858,204145,258569,755303,59360,309207,52022,373761,1261142,124183,42003,440858,411965,119185,338616,34802
.70 to 74 years,225999,25039,353200,137869,1496798,225835,157736,51436,1169485,414634,69054,77982,513854,278327,134561,117745,199073,193611,75309,249061,299577,453201,227383,128344,270459,53961,77338,139154,67532,371410,101294,827776,472664,28215,522385,163905,206029,598790,46799,261393,37194,307635,983886,95283,33203,361433,323559,98138,256132,25788
.75 to 79 years,155814,15078,252667,98087,1017681,141798,112284,34652,870367,273561,45499,52941,359028,191682,94817,81312,134492,131141,50062,169952,202003,313609,158811,87629,192141,36265,53146,93275,43777,262580,67613,578106,316306,19589,357587,116437,135035,419523,32019,173014,24442,209230,659344,65645,21938,246799,210934,65706,175288,16949
.80 to 84 years,101033,8029,158530,63054,683918,88562,73811,21142,580147,166323,29189,32089,241202,126255,68016,56261,86328,85290,32324,108469,134501,201076,107902,57811,126200,22686,37346,54518,27177,176985,44101,398117,198886,14779,243218,76482,81909,287634,21356,101999,17228,130998,421398,42187,13458,155331,128687,43846,118898,10649
