date,estimatedCases,estimatedCasesCILower,estimatedCasesCIUpper
2020-08-12,123,24,631
2020-08-21,166,32,848
2020-09-02,188,36,964
2020-09-09,171,33,878
2020-11-20,126,26,601
2020-12-16,101,20,520
2020-12-26,97,19,502
2021-01-04,100,19,516
2021-01-05,94,18,486
2021-01-15,85,16,439
2021-01-22,76,15,390
2021-01-24,71,13,403
2021-01-30,72,13,408
2021-02-03,61,11,346
2021-02-04,47,8,266
2021-02-07,39,7,220
2021-02-08,36,6,201
2021-02-09,33,6,185
2021-02-10,29,5,162
2021-02-14,24,4,137
2021-02-24,28,6,132
2021-03-04,26,5,124
2021-03-09,24,5,114
2021-03-16,23,5,104
2021-03-19,22,5,100
2021-03-24,24,6,99
2021-03-25,26,7,100
2021-03-27,24,6,96
2021-03-28,28,8,100
2021-03-29,43,16,119
2021-03-30,41,15,116
2021-03-31,51,20,130
2021-04-01,51,20,128
2021-04-02,64,28,147
2021-04-03,75,35,160
2021-04-04,84,41,174
2021-04-05,77,36,165
2021-04-06,89,44,182
2021-04-07,96,48,190
2021-04-08,119,65,220
2021-04-09,139,79,245
2021-04-10,159,93,271
2021-04-11,167,99,282
2021-04-12,217,137,342
2021-04-13,255,166,390
2021-04-14,272,181,410
2021-04-15,282,188,423
2021-04-16,337,232,490
2021-04-17,404,288,567
2021-04-18,458,333,631
2021-04-19,489,358,666
2021-04-20,520,386,700
2021-04-21,542,403,728
2021-04-22,573,432,761
2021-04-23,583,443,768
2021-04-24,622,478,808
2021-04-25,644,499,831
2021-04-26,660,514,846
2021-04-27,673,528,858
2021-04-28,684,539,868
2021-04-29,686,541,870
2021-04-30,722,572,911
2021-05-01,709,560,895
2021-05-02,761,608,951
2021-05-03,817,658,1014
2021-05-04,834,672,1033
2021-05-05,854,691,1054
2021-05-06,826,666,1023
2021-05-07,836,675,1035
2021-05-08,881,715,1086
2021-05-09,898,728,1106
2021-05-10,877,709,1084
2021-05-11,927,752,1142
2021-05-12,935,760,1150
2021-05-13,975,796,1194
2021-05-14,1081,890,1312
2021-05-15,1108,912,1343
2021-05-16,1178,975,1422
2021-05-17,1217,1011,1464
2021-05-18,1192,991,1431
2021-05-19,1185,987,1421
2021-05-20,1199,998,1438
2021-05-21,1316,1099,1572
2021-05-22,1465,1232,1738
2021-05-23,1567,1323,1853
2021-05-24,1730,1470,2033
2021-05-25,1860,1589,2172
2021-05-26,1857,1590,2164
2021-05-27,1858,1594,2160
2021-05-28,1741,1482,2038
2021-05-29,2023,1747,2335
2021-05-30,2176,1898,2487
2021-05-31,2267,1993,2573
2021-06-01,2371,2097,2674
2021-06-02,2537,2252,2850
2021-06-03,2613,2327,2925
2021-06-04,3031,2731,3355
2021-06-05,3094,2798,3412
2021-06-06,3400,3086,3734
2021-06-07,3445,3139,3770
2021-06-08,3958,3621,4314
2021-06-09,3911,3589,4251
2021-06-10,4057,3734,4396
2021-06-11,4262,3942,4597
2021-06-12,4382,4061,4716
2021-06-13,4339,4032,4656
2021-06-14,4438,4138,4747
2021-06-15,4500,4207,4801
2021-06-16,4660,4364,4962
2021-06-17,4755,4457,5057
2021-06-18,5207,4909,5507
2021-06-19,5551,5255,5847
2021-06-20,5911,5617,6205
2021-06-21,6496,6192,6796
2021-06-22,7059,6748,7365
2021-06-23,7259,6951,7562
2021-06-24,7399,7096,7696
2021-06-25,8022,7719,8318
2021-06-26,8017,7738,8288
2021-06-27,8618,8337,8889
2021-06-28,8877,8603,9140
2021-06-29,9593,9311,9863
2021-06-30,9301,9034,9555
2021-07-01,9337,9069,9593
2021-07-02,8900,8650,9138
2021-07-03,10948,10672,11209
2021-07-04,12033,11763,12287
2021-07-05,12852,12589,13100
2021-07-06,15225,14939,15494
2021-07-07,15821,15542,16081
2021-07-08,16737,16459,16997
2021-07-09,20017,19720,20296
2021-07-10,20676,20386,20947
2021-07-11,22094,21798,22370
2021-07-12,23697,23398,23976
2021-07-13,27723,27392,28031
2021-07-14,28354,28029,28654
2021-07-15,29656,29333,29953
2021-07-16,32252,31931,32547
2021-07-17,34592,34278,34880
2021-07-18,37246,36937,37528
2021-07-19,40875,40569,41155
2021-07-20,46924,46605,47214
2021-07-21,48923,48610,49207
2021-07-22,49720,49413,49997
2021-07-23,54810,54496,55093
2021-07-24,58668,58356,58950
2021-07-25,61383,61073,61661
2021-07-26,64910,64599,65189
2021-07-27,74394,74052,74703
2021-07-28,75436,75097,75743
2021-07-29,77934,77596,78240
2021-07-30,82864,82527,83168
2021-07-31,87814,87477,88118
2021-08-01,91656,91311,91968
2021-08-02,95902,95540,96228
2021-08-03,105117,104727,105468
2021-08-04,107508,107116,107861
2021-08-05,105453,105064,105802
2021-08-06,114040,113626,114409
2021-08-07,116738,116315,117114
2021-08-08,125389,124950,125775
2021-08-09,130419,129998,130781
2021-08-10,127342,126957,127665
2021-08-11,127564,127187,127876
2021-08-12,129810,129435,130119
2021-08-13,135479,135105,135783
2021-08-14,139905,139522,140215
2021-08-15,140298,139919,140605
2021-08-16,142374,141983,142692
2021-08-17,144364,143943,144710
2021-08-18,146673,146237,147034
2021-08-19,145856,145419,146217
2021-08-20,148297,147837,148678
2021-08-21,148842,148369,149235
2021-08-22,150360,149882,150758
2021-08-23,153923,153417,154351
2021-08-24,153451,152937,153886
2021-08-25,152826,152321,153252
2021-08-26,153649,153137,154081
2021-08-27,156763,156245,157200
2021-08-28,158934,158432,159356
2021-08-29,163557,163045,163985
2021-08-30,162591,162101,162996
2021-08-31,161804,161351,162172
2021-09-01,162322,161867,162693
2021-09-02,162099,161650,162463
2021-09-03,136071,135673,136388
2021-09-04,151035,150595,151387
2021-09-05,148089,147641,148451
2021-09-06,145781,145333,146144
2021-09-07,144826,144390,145181
2021-09-08,144731,144290,145090
2021-09-09,144023,143577,144389
2021-09-10,170199,169691,170617
2021-09-11,151717,151238,152104
2021-09-12,150332,149845,150715
2021-09-13,149813,149313,150195
2021-09-14,146728,146153,147169
2021-09-15,145837,145254,146271
2021-09-16,146175,145602,146584
2021-09-17,137920,137352,138311
2021-09-18,134512,133925,134914
2021-09-19,129120,128536,129502
2021-09-20,125134,124567,125486
2021-09-21,121451,121079,121596
2021-09-22,120135,119759,120280
2021-09-23,119404,119036,119533
2021-09-24,117013,116625,117143
2021-09-25,115383,114977,115500
2021-09-26,114082,113644,114197
2021-09-27,111933,111454,112034
2021-09-28,109214,108643,109305
2021-09-29,108026,107360,108118
2021-09-30,107217,106500,107301
2021-10-01,105018,104021,105053
2021-10-02,103001,101301,103001
2021-10-03,99257,98927,99542
2021-10-04,97879,97550,98163
2021-10-05,94126,93805,94404
2021-10-06,92573,92268,92834
2021-10-07,92063,91767,92317
2021-10-08,85051,84781,85281
2021-10-09,86508,86245,86729
2021-10-10,88096,87828,88320
2021-10-11,86140,85881,86356
2021-10-12,83749,83492,83963
2021-10-13,84179,83912,84403
2021-10-14,83255,82977,83489
2021-10-15,83494,83219,83726
2021-10-16,79855,79586,80083
2021-10-17,75551,75290,75773
2021-10-18,74390,74122,74619
2021-10-19,72337,72077,72560
2021-10-20,71486,71234,71703
2021-10-21,69647,69408,69850
2021-10-22,71330,71086,71539
2021-10-23,69615,69378,69818
2021-10-24,70979,70742,71182
2021-10-25,70838,70606,71035
2021-10-26,70577,70341,70778
2021-10-27,70961,70726,71160
2021-10-28,72842,72600,73047
2021-10-29,72835,72592,73040
2021-10-30,73164,72923,73369
2021-10-31,70955,70731,71144
2021-11-01,71588,71368,71775
2021-11-02,71919,71698,72107
2021-11-03,72149,71930,72335
2021-11-04,72782,72566,72964
2021-11-05,72338,72129,72515
2021-11-06,73741,73538,73911
2021-11-07,75193,74986,75367
2021-11-08,71768,71573,71930
2021-11-09,78796,78597,78959
2021-11-10,79985,79785,80151
2021-11-11,79237,79031,79409
2021-11-12,82896,82675,83080
2021-11-13,83828,83594,84026
2021-11-14,86078,85826,86292
2021-11-15,93478,93198,93716
2021-11-16,90753,90473,90992
2021-11-17,90889,90601,91134
2021-11-18,92034,91748,92277
2021-11-19,93643,93357,93885
2021-11-20,94444,94160,94681
2021-11-21,94573,94296,94800
2021-11-22,83998,83738,84207
2021-11-23,73581,73350,73767
2021-11-24,71081,70870,71250
2021-11-25,71581,71374,71746
2021-11-26,77909,77687,78088
2021-11-27,81402,81173,81587
2021-11-28,85147,84907,85342
2021-11-29,99682,99414,99906
2021-11-30,113963,113658,114220
2021-12-01,119240,118911,119517
2021-12-02,120194,119847,120487
2021-12-03,118005,117627,118328
2021-12-04,116627,116189,117011
2021-12-05,117007,116475,117482
2021-12-06,113495,112901,114034
2021-12-07,114236,113552,114864
2021-12-08,111561,110815,112252
2021-12-09,110288,109485,111035
2021-12-10,107019,106052,107932
2021-12-11,101027,99914,102095
2021-12-12,92072,90827,93280
2021-12-13,86147,84778,87488
2021-12-14,80439,78980,81878
2021-12-15,76706,75184,78214
2021-12-16,76126,74532,77710
2021-12-17,72396,70688,74103
2021-12-18,65764,63968,67571
2021-12-19,61207,59276,63164
2021-12-20,59635,57498,61814
2021-12-21,53981,51689,56333
2021-12-22,49675,47320,52103
2021-12-23,49939,47345,52626
2021-12-24,52049,48745,55512
2021-12-25,47475,43334,51921
2021-12-26,53781,47409,60806
2021-12-27,67669,56131,80924
2021-12-28,75684,61350,92412
2021-12-29,74374,59248,92297
2021-12-30,40007,36627,43663
2021-12-31,40856,36617,45536
2022-01-01,41814,36730,47538
2022-01-02,38805,33017,45522
2022-01-03,37166,30468,45221
2022-01-04,36772,29372,45902
2022-01-05,36330,28663,45907
